rowNumber,sn,fn,ln,no,ps,nt,db,ag,ht,go/at,cb,cn
852,Tour??,Yaya,Tour??,42,3,CIV,13.05.1983,32,191,7,Man. City,ENG
853,Wood,Marcus,Wood,71,3,ENG,12.02.1998,17,,0,Man. City,ENG
854,Zabaleta,Pablo,Zabaleta,5,2,ARG,16.01.1985,30,176,1,Man. City,ENG
855,Akinfeev,Igor,Akinfeev,35,1,RUS,08.04.1986,29,185,0,CSKA Moskva,RUS
856,A. Berezutski,Aleksei,Berezutski,6,2,RUS,20.06.1982,33,190,0,CSKA Moskva,RUS
857,V. Berezutski,Vasili,Berezutski,24,2,RUS,20.06.1982,33,189,3,CSKA Moskva,RUS
858,Cau??a,Aleksandrs,Cau??a,19,3,LVA,19.01.1988,27,174,1,CSKA Moskva,RUS
859,Chepchugov,Sergei,Chepchugov,1,1,RUS,15.07.1985,30,185,0,CSKA Moskva,RUS
860,Chernov,Nikita,Chernov,91,2,RUS,14.01.1996,19,189,0,CSKA Moskva,RUS
861,Doumbia,Seydou,Doumbia,88,4,CIV,31.12.1987,27,179,13,CSKA Moskva,RUS
862,Dzagoev,Alan,Dzagoev,10,3,RUS,17.06.1990,25,179,6,CSKA Moskva,RUS
863,Eremenko,Roman,Eremenko,25,3,FIN,19.03.1987,28,180,1,CSKA Moskva,RUS
864,Golovin,Aleksandr,Golovin,60,3,RUS,30.05.1996,19,,0,CSKA Moskva,RUS
865,Ignashevich,Sergei,Ignashevich,4,2,RUS,14.07.1979,36,186,5,CSKA Moskva,RUS
866,Makarov,Aleksandr,Makarov,43,4,RUS,24.04.1996,19,,0,CSKA Moskva,RUS
867,M??rio Fernandes,,M??rio Fernandes,2,2,BRA,28.06.1991,24,189,0,CSKA Moskva,RUS
868,Milanov,Georgi,Milanov,23,3,BUL,19.02.1992,23,184,0,CSKA Moskva,RUS
869,Musa,Ahmed,Musa,18,4,NGA,14.10.1992,22,170,5,CSKA Moskva,RUS
870,Nababkin,Kirill,Nababkin,14,2,RUS,08.09.1986,29,176,0,CSKA Moskva,RUS
871,Natcho,Bibras,Natcho,66,3,ISR,18.02.1988,27,175,3,CSKA Moskva,RUS
872,Panchenko,Kirill,Panchenko,8,4,RUS,19.10.1989,25,185,0,CSKA Moskva,RUS
873,Pomazun,Ilya,Pomazun,45,1,RUS,16.08.1996,19,189,0,CSKA Moskva,RUS
874,Schennikov,Georgi,Schennikov,42,2,RUS,27.04.1991,24,178,0,CSKA Moskva,RUS
875,To??i??,Zoran,To??i??,7,3,SRB,28.04.1987,28,171,5,CSKA Moskva,RUS
876,Vasin,Viktor,Vasin,5,2,RUS,06.10.1988,26,192,0,CSKA Moskva,RUS
877,Wernbloom,Pontus,Wernbloom,3,3,SWE,25.06.1986,29,187,3,CSKA Moskva,RUS
878,Alberman,Gal,Alberman,6,3,ISR,17.04.1983,32,180,1,M. Tel-Aviv,ISR
879,Armaly,Suhail,Armaly,29,3,ISR,10.01.1996,19,,0,M. Tel-Aviv,ISR
880,Azulay,Shlomy,Azulay,16,3,ISR,30.03.1990,25,,0,M. Tel-Aviv,ISR
881,Ben Basat,Eden,Ben Basat,9,4,ISR,08.09.1986,29,,1,M. Tel-Aviv,ISR
882,Ben Haim I,Tal,Ben Haim I,26,2,ISR,31.03.1982,33,,0,M. Tel-Aviv,ISR
883,Ben Haim II,Tal,Ben Haim II,11,4,ISR,05.08.1989,26,175,4,M. Tel-Aviv,ISR
884,Ben Harush,Omri,Ben Harush,20,2,ISR,07.03.1990,25,,0,M. Tel-Aviv,ISR
885,Carlos Garc??a,,Carlos Garc??a,31,2,ESP,29.04.1984,31,,0,M. Tel-Aviv,ISR
886,Dasa,Eliazer,Dasa,2,2,ISR,03.12.1992,22,,0,M. Tel-Aviv,ISR
887,Einbinder,Daniel,Einbinder,17,3,ISR,16.02.1989,26,186,0,M. Tel-Aviv,ISR
888,Glazer,Dan,Glazer,33,3,ISR,20.09.1996,18,,0,M. Tel-Aviv,ISR
889,Goldberg,Sean,Goldberg,23,2,ISR,13.06.1995,20,,0,M. Tel-Aviv,ISR
890,Hasson,Sahar,Hasson,41,1,ISR,24.04.1996,19,,0,M. Tel-Aviv,ISR
891,Igiebor,Nosakhare,Igiebor,40,3,NGA,09.11.1990,24,182,2,M. Tel-Aviv,ISR
892,Itzhaki,Barak,Itzhaki,10,4,ISR,25.09.1984,30,174,3,M. Tel-Aviv,ISR
893,Lifshitz,Daniel,Lifshitz,1,1,ISR,24.04.1988,27,,0,M. Tel-Aviv,ISR
894,Miha,Dor,Miha,15,3,ISR,02.03.1992,23,,0,M. Tel-Aviv,ISR
895,Mitrovi??,Nikola,Mitrovi??,24,3,SRB,02.01.1987,28,180,0,M. Tel-Aviv,ISR
896,Ohayon,Haviv,Ohayon,55,1,ISR,17.08.1998,17,,0,M. Tel-Aviv,ISR
897,Peretz,Dor,Peretz,42,3,ISR,17.05.1995,20,,0,M. Tel-Aviv,ISR
898,Radonji??,Dejan,Radonji??,99,4,CRO,23.07.1990,25,,0,M. Tel-Aviv,ISR
899,Rajkovi??,Predrag,Rajkovi??,95,1,SRB,31.10.1995,19,,0,M. Tel-Aviv,ISR
900,Raly,Oz,Raly,27,2,ISR,22.12.1987,27,,0,M. Tel-Aviv,ISR
901,Rikan,Avraham,Rikan,22,3,ISR,10.09.1988,27,168,0,M. Tel-Aviv,ISR
902,Shpungin,Yuval,Shpungin,3,2,ISR,03.04.1987,28,,0,M. Tel-Aviv,ISR
903,Tibi,Eytan,Tibi,18,2,ISR,16.11.1987,27,,0,M. Tel-Aviv,ISR
904,Vermouth,Gil,Vermouth,28,3,ISR,05.08.1985,30,174,0,M. Tel-Aviv,ISR
905,Zahavi,Eran,Zahavi,7,3,ISR,25.07.1987,28,182,15,M. Tel-Aviv,ISR
906,Ziv,Yoav,Ziv,14,2,ISR,16.03.1981,34,178,0,M. Tel-Aviv,ISR
907,Arnold,Maximilian,Arnold,27,3,GER,27.05.1994,21,184,0,Wolfsburg,GER
908,Ascues,Carlos,Ascues,6,2,PER,19.06.1992,23,178,0,Wolfsburg,GER
909,Benaglio,Diego,Benaglio,1,1,SUI,08.09.1983,32,194,0,Wolfsburg,GER
910,Bendtner,Nicklas,Bendtner,3,4,DEN,16.01.1988,27,190,9,Wolfsburg,GER
911,Caligiuri,Daniel,Caligiuri,7,3,GER,15.01.1988,27,182,0,Wolfsburg,GER
912,Casteels,Koen,Casteels,28,1,BEL,25.06.1992,23,197,0,Wolfsburg,GER
913,Dante,,Dante,18,2,BRA,18.10.1983,31,188,0,Wolfsburg,GER
914,Dost,Bas,Dost,12,4,NED,31.05.1989,26,196,0,Wolfsburg,GER
915,Draxler,Julian,Draxler,10,3,GER,20.09.1993,21,183,6,Wolfsburg,GER
916,Gr??n,Max,Gr??n,20,1,GER,05.04.1987,28,192,0,Wolfsburg,GER
917,Guilavogui,Josuha,Guilavogui,23,3,FRA,19.09.1990,24,187,0,Wolfsburg,GER
918,Jung,Sebastian,Jung,24,2,GER,22.06.1990,25,179,0,Wolfsburg,GER
919,Klose,Timm,Klose,5,2,SUI,09.05.1988,27,193,0,Wolfsburg,GER
920,Knoche,Robin,Knoche,31,2,GER,22.05.1992,23,190,0,Wolfsburg,GER
921,Kruse,Max,Kruse,11,4,GER,19.03.1988,27,180,0,Wolfsburg,GER
922,Luiz Gustavo,,Luiz Gustavo,22,3,BRA,23.07.1987,28,187,0,Wolfsburg,GER
923,Naldo,,Naldo,25,2,BRA,10.09.1982,33,198,0,Wolfsburg,GER
924,Rodriguez,Francisco,Rodriguez,35,3,SUI,14.09.1995,20,191,0,Wolfsburg,GER
925,Rodriguez,Ricardo,Rodriguez,34,2,SUI,25.08.1992,23,180,0,Wolfsburg,GER
926,Sch??fer,Marcel,Sch??fer,4,2,GER,07.06.1984,31,182,0,Wolfsburg,GER
927,Sch??rrle,Andr??,Sch??rrle,17,3,GER,06.11.1990,24,184,3,Wolfsburg,GER
928,Seguin,Paul,Seguin,30,3,GER,29.03.1995,20,186,0,Wolfsburg,GER
929,Sprenger,Moritz,Sprenger,37,2,GER,22.02.1995,20,190,0,Wolfsburg,GER
930,Stolze,Sebastian,Stolze,33,4,GER,29.01.1995,20,182,0,Wolfsburg,GER
931,Tr??sch,Christian,Tr??sch,15,3,GER,01.09.1987,28,181,1,Wolfsburg,GER
932,Vieirinha,,Vieirinha,8,3,POR,24.01.1986,29,176,1,Wolfsburg,GER
933,Aleksievich,Ilya,Aleksievich,9,3,BLR,10.02.1991,24,173,0,BATE,BLR
934,Antilevski,Dmitri,Antilevski,44,4,BLR,12.06.1997,18,174,0,BATE,BLR
935,Baga,Dmitri,Baga,55,3,BLR,04.01.1990,25,182,0,BATE,BLR
936,Baiduk,Dmitri,Baiduk,27,2,BLR,03.08.1996,19,,0,BATE,BLR
937,Bogush,Pavel,Bogush,29,3,BLR,24.01.1996,19,,0,BATE,BLR
938,Chernik,Sergei,Chernik,16,1,BLR,20.07.1988,27,187,0,BATE,BLR
939,Chichkan,Anton,Chichkan,35,1,BLR,10.07.1995,20,186,0,BATE,BLR
940,Dubra,Kaspars,Dubra,4,2,LVA,20.12.1990,24,,0,BATE,BLR
941,Gaiduchik,Vitali,Gaiduchik,3,2,BLR,12.07.1989,26,185,0,BATE,BLR
942,Gordeichuk,Mikhail,Gordeichuk,62,4,BLR,23.10.1989,25,176,3,BATE,BLR
943,Hleb,Aleksandr,Hleb,81,3,BLR,01.05.1981,34,185,4,BATE,BLR
944,A. Jevti??,Aleksandar,Jevti??,11,4,SRB,30.03.1985,30,,0,BATE,BLR
945,Karnitski,Aleksandr,Karnitski,7,3,BLR,14.02.1989,26,187,3,BATE,BLR
946,Likhtarovich,Dmitri,Likhtarovich,2,3,BLR,01.03.1978,37,180,1,BATE,BLR
947,Milunovi??,Nemanja,Milunovi??,19,2,SRB,31.05.1989,26,,1,BATE,BLR
948,Mladenovi??,Filip,Mladenovi??,25,2,SRB,15.08.1991,24,180,0,BATE,BLR
949,Mozolevski,Dmitri,Mozolevski,18,4,BLR,30.04.1985,30,190,3,BATE,BLR
950,Nikoli??,Nemanja,Nikoli??,10,3,MNE,01.01.1988,27,182,1,BATE,BLR
951,Olekhnovich,Edgar,Olekhnovich,23,3,BLR,17.05.1987,28,183,1,BATE,BLR
952,Polyakov,Denis,Polyakov,33,2,BLR,17.04.1991,24,184,1,BATE,BLR
953,Rios,Aleksei,Rios,17,3,BLR,14.05.1987,28,,0,BATE,BLR
954,Rodionov,Vitali,Rodionov,20,4,BLR,11.12.1983,31,179,14,BATE,BLR
955,Rovbut,Maksim,Rovbut,28,2,BLR,24.05.1996,19,,0,BATE,BLR
956,Scherbitski,Denis,Scherbitski,48,1,BLR,14.04.1996,19,197,0,BATE,BLR
957,Signevich,Nikolai,Signevich,13,4,BLR,20.02.1992,23,194,0,BATE,BLR
958,Soroko,Artem,Soroko,34,1,BLR,01.04.1992,23,184,0,BATE,BLR
959,Stasevich,Igor,Stasevich,22,3,BLR,21.10.1985,29,178,4,BATE,BLR
960,A. Volodko,Aleksandr,Volodko,8,3,BLR,18.06.1986,29,177,4,BATE,BLR
961,M. Volodko,Maksim,Volodko,42,3,BLR,10.11.1992,22,174,0,BATE,BLR
962,Yablonski,Evgeni,Yablonski,5,3,BLR,10.05.1995,20,182,1,BATE,BLR
963,Zhavnerchik,Maksim,Zhavnerchik,15,2,BLR,09.02.1985,30,,0,BATE,BLR
964,Y. Akhmetov,Yeldos,Akhmetov,2,2,KAZ,01.06.1990,25,,0,Astana,KAZ
965,Ani??i??,Marin,Ani??i??,5,2,BIH,17.08.1989,26,,0,Astana,KAZ
966,Beysebekov,Abzal,Beysebekov,15,2,KAZ,30.11.1992,22,,0,Astana,KAZ
967,Ca??as,Roger,Ca??as,88,3,COL,27.03.1990,25,,2,Astana,KAZ
968,Dedechko,Denys,Dedechko,24,3,UKR,02.07.1987,28,,0,Astana,KAZ
969,Dzholchiyev,Baurzhan,Dzholchiyev,22,4,KAZ,08.05.1990,25,,2,Astana,KAZ
970,Eri??,Nenad,Eri??,1,1,KAZ,26.05.1982,33,,0,Astana,KAZ
971,Golubnichi,Mikhail,Golubnichi,40,1,KAZ,31.01.1995,20,185,0,Astana,KAZ
972,B. Ili??,Branko,Ili??,33,2,SVN,06.02.1983,32,187,0,Astana,KAZ
973,Kabananga,Junior,Kabananga,89,4,COD,04.04.1989,26,,0,Astana,KAZ
974,K??th??voama,Foxi,K??th??voama,10,3,CTA,30.05.1986,29,,0,Astana,KAZ
975,Khairullin,Rinat,Khairullin,18,3,KAZ,19.02.1994,21,,0,Astana,KAZ
976,Kozhamberdy,Zhakyp,Kozhamberdy,20,3,KAZ,26.02.1992,23,,0,Astana,KAZ
977,Loginovski,Vladimir,Loginovski,85,1,KAZ,08.10.1985,29,,0,Astana,KAZ
978,Maksimovi??,Nemanja,Maksimovi??,6,3,SRB,26.01.1995,20,,1,Astana,KAZ
979,Muzhikov,Serikzhan,Muzhikov,11,3,KAZ,17.06.1989,26,,0,Astana,KAZ
980,Nuserbayev,Tanat,Nuserbayev,17,4,KAZ,01.01.1987,28,,0,Astana,KAZ
981,Pikalkin,Igor,Pikalkin,12,2,KAZ,19.03.1992,23,,0,Astana,KAZ
982,Postnikov,Evgeni,Postnikov,44,2,KAZ,16.04.1986,29,,1,Astana,KAZ
983,Schetkin,Aleksei,Schetkin,9,4,KAZ,21.05.1991,24,,0,Astana,KAZ
984,Shomko,Dmitri,Shomko,77,2,KAZ,19.03.1990,25,,1,Astana,KAZ
985,Twumasi,Patrick,Twumasi,23,4,GHA,09.05.1994,21,,2,Astana,KAZ
986,Zhukov,Georgi,Zhukov,8,3,KAZ,19.11.1994,20,,0,Astana,KAZ
